"attribute_type","attribute_value","meta_content","url"
"name","title","HBO Real Time with Bill Maher New Rules Best of 2016","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","description","Real Time has earned widespread praise. It has been nominated for more than ten Primetime Emmy Awards and six Writer's Guild awards. In the segment ""New Rule...","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","keywords","Bill Maher, New Rules, Real Time, HBO","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","theme-color","#e62117","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:site_name","YouTube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:url","https://www.youtube.com/watch?v=kg0cXjJh2DE","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:title","HBO Real Time with Bill Maher New Rules Best of 2016","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:image","https://i.ytimg.com/vi/kg0cXjJh2DE/hqdefault.jpg","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:description","Real Time has earned widespread praise. It has been nominated for more than ten Primetime Emmy Awards and six Writer's Guild awards. In the segment ""New Rule...","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:ios:app_store_id","544007664","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:ios:app_name","YouTube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:ios:url","vnd.youtube://www.youtube.com/watch?v=kg0cXjJh2DE&feature=applinks","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:android:url","vnd.youtube://www.youtube.com/watch?v=kg0cXjJh2DE&feature=applinks","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:android:app_name","YouTube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:android:package","com.google.android.youtube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","al:web:url","https://www.youtube.com/watch?v=kg0cXjJh2DE&feature=applinks","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:type","video","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:url","https://www.youtube.com/embed/kg0cXjJh2DE","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:secure_url","https://www.youtube.com/embed/kg0cXjJh2DE","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:type","text/html","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:width","640","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:height","360","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:url","http://www.youtube.com/v/kg0cXjJh2DE?version=3&autohide=1","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:secure_url","https://www.youtube.com/v/kg0cXjJh2DE?version=3&autohide=1","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:type","application/x-shockwave-flash","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:width","640","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:height","360","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:tag","Bill Maher","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:tag","New Rules","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:tag","Real Time","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","og:video:tag","HBO","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"property","fb:app_id","87741124305","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:card","player","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:site","@youtube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:url","https://www.youtube.com/watch?v=kg0cXjJh2DE","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:title","HBO Real Time with Bill Maher New Rules Best of 2016","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:description","Real Time has earned widespread praise. It has been nominated for more than ten Primetime Emmy Awards and six Writer's Guild awards. In the segment ""New Rule...","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:image","https://i.ytimg.com/vi/kg0cXjJh2DE/hqdefault.jpg","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:app:name:iphone","YouTube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:app:id:iphone","544007664","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:app:name:ipad","YouTube","http://www.youtube.com/watch?v=kg0cXjJh2DE"
"name","twitter:app:id:ipad","544007664","http://www.youtube.com/watch?v=kg0cXjJh2DE"
